Feature,Coefficient,Odds_Ratio
StudentID,-0.011074010952386347,0.9889870801909509
Gender,-0.04898433950433745,0.9521960414437188
City,0.005682680786353486,1.0056988578453172
CollegeTier,-0.11954035206527697,0.8873282015711155
Stream,-0.06946484489062275,0.9328929287610379
Specialisation,-0.0548175790222208,0.9466578224488733
Hostel,0.1015646803185806,1.1069015108189575
HistoryOfBacklogs,-2.0085146865044985,0.13418783772870985
SGPA_Sem1,-0.10533519990448846,0.9000227844664058
SGPA_Sem2,-0.09400819527972219,0.9102753022494725
SGPA_Sem3,-0.02931561428198289,0.9711099199341268
SGPA_Sem4,-0.03885805984041131,0.961887229884166
SGPA_Sem5,0.4188766482673886,1.5202528174048688
SGPA_Sem6,0.09528248232183596,1.0999695331911912
SGPA_Sem7,-0.1279077032759581,0.8799345904768884
SGPA_Sem8,0.2497062101236357,1.2836482384276142
CGPA,-1.8538684676016959,0.15663007444467011
AttendancePercent,0.08301401964907322,1.086557041589878
Internships,0.8580000347954891,2.358439177553508
Projects,0.7586459201076919,2.135382783077259
Workshops,0.02037725859364135,1.0205862923582472
Certifications,0.1286489989860542,1.1372908638530796
Publications,0.013438238297210964,1.013528937244119
AptitudeTestScore,0.33734114192858594,1.4012169960809302
SoftSkillsRating,0.935078684497526,2.5474138918354456
CodingTestScore,0.4060911985280725,1.5009394296831373
MockInterviewScore,0.17263543139538956,1.1884327608236889
ExtraCurricular,-0.49474347004122987,0.609727300554946
CGPA_Tier,1.6867549382312579,5.401922659367875
Salary Package,10.737133777124617,46033.91917546013
IsAnomaly,-0.12258242908982185,0.8846329824464879
