Probability_0,Probability_1,Probability_2
1.1672564796240446e-22,0.9999999951211629,4.878836983972475e-09
0.9999833314131974,2.7069652996005256e-28,1.666858680249628e-05
7.654614581787393e-37,1.0,4.432972442151154e-17
9.484964506495112e-10,0.003176725847989702,0.9968232732035139
1.8948456024993977e-28,0.9999999999961771,3.823023817495483e-12
1.0861171657640294e-07,6.322749090871339e-05,0.9999366638973747
0.999434280414247,6.719556074460683e-25,0.0005657195857529751
1.2443451969296804e-24,0.999999999730729,2.692710297469352e-10
0.9999998949152874,7.6435766496133435e-34,1.0508471255569044e-07
1.465839785755467e-06,4.238327529463453e-07,0.9999981103274613
1.377172527252475e-27,0.9999999999945737,5.4262648478958915e-12
1.0133499991082726e-17,0.999996239114232,3.7608857681467263e-06
0.9995063374123767,9.294741059175203e-24,0.0004936625876234341
1.466226887525481e-15,0.9999466147975052,5.338520249311986e-05
0.9998414850037901,2.763440592900813e-25,0.00015851499620996186
0.9999671304310885,6.749760448036797e-27,3.286956891155237e-05
0.9999608907342015,1.6940470208752465e-27,3.91092657984178e-05
0.9999998397101871,1.8756812861247367e-33,1.6028981284569304e-07
1.0372686146236211e-17,0.9999956649118492,4.335088150868701e-06
2.9105840270848688e-06,0.0006251635187498894,0.9993719258972231
2.957984207955244e-21,0.9999999834299644,1.6570035589386896e-08
4.747706008002408e-14,0.981240883153484,0.018759116846468547
7.8839217744223e-06,1.0291817134805253e-07,0.9999920131600541
1.4463651129766018e-06,0.002407814251654623,0.9975907393832324
3.7040641471118014e-11,0.9648743798121728,0.03512562015078653
5.511175340681017e-15,0.9998791221013275,0.00012087789866704795
0.9999999999929461,2.937708228591986e-42,7.053862289702365e-12
0.9999991583730701,1.2704555874441576e-31,8.416269299163929e-07
0.8980089225298296,4.947848740854415e-19,0.10199107747017051
0.0005262041341427664,1.688983574021129e-11,0.9994737958489675
1.690549488193392e-05,2.9159705848001257e-09,0.9999830915891476
0.9921347351316233,2.4714434610829655e-21,0.007865264868376663
4.6427967170901226e-07,1.4359486722117862e-06,0.999998099771656
0.9980792591602722,2.003946279428172e-22,0.001920740839727889
3.8408955223934465e-14,0.9820061775009739,0.01799382249898765
1.1683356038603401e-15,0.9999547679691809,4.523203081783332e-05
0.9999564429555285,1.4094329060788217e-26,4.3557044471418386e-05
2.3736944063539705e-06,1.4313085301280397e-07,0.9999974831747406
0.012953540105897653,1.069402748488596e-12,0.9870464598930331
0.00025271996937222246,4.192785690235505e-11,0.9997472799886998
9.778538990084895e-20,0.9999958341837483,4.1658162516433475e-06
1.1703622004725826e-12,0.9976981470883058,0.0023018529105238703
1.2024635982539688e-14,0.999539562518063,0.00046043748192515355
8.186338755876707e-08,0.055825429095316695,0.9441744890412956
1.2527865840281481e-20,0.9999999291439069,7.085609314964155e-08
7.086896770160993e-08,6.136033532923147e-05,0.9999385687957031
0.9997047719122407,4.482791747761214e-26,0.0002952280877593201
0.01091528541960364,5.287633585099436e-12,0.9890847145751087
4.1357429633133335e-20,0.9999927854216851,7.214578314849057e-06
0.9999999999999647,9.259797514557248e-50,3.521775661744473e-14
0.0023001808195641732,1.08516285987491e-12,0.9976998191793508
0.9999999998804983,3.61651262446411e-40,1.1950170200640679e-10
3.5029156908627096e-05,9.974981801348752e-09,0.9999649608681095
4.504099700877024e-09,0.00019940965977241154,0.999800585836128
8.069835715926691e-07,1.7087880259706243e-06,0.9999974842284025
9.865050265431763e-22,0.9999999874524262,1.2547573687095121e-08
0.00017792450209692357,1.298077184868756e-06,0.9998207774207183
0.000123011543641283,1.6782665855332755e-06,0.9998753101897732
0.999999999999992,4.826063356429775e-51,7.99846672333678e-15
0.4093606286930158,4.188267699812883e-15,0.59063937130698
0.9999994416307654,5.983839478061225e-32,5.583692345133499e-07
1.1068710231904817e-29,0.9999999999995857,4.144264317456201e-13
5.6092648683842e-06,5.4520067346620704e-08,0.9999943362150644
0.006591913536757281,9.878284134130899e-09,0.9934080765849584
0.9999999982029091,8.91843650950333e-37,1.7970910090348064e-09
0.9999998299088378,5.197216610897677e-33,1.700911621608371e-07
6.967874247935469e-06,9.871251633399542e-09,0.9999930222545004
1.2627749554540141e-24,0.9999999901947464,9.80525361836927e-09
0.9999999982996572,1.3739190822276374e-36,1.7003426523542883e-09
0.999999992205946,6.043887404953672e-36,7.794054111971242e-09
0.9999999946926563,1.2949285518812527e-36,5.3073436994076745e-09
1.8832890843460493e-18,0.9999974862805002,2.5137194997532527e-06
0.0002957771948324533,7.459565063569228e-10,0.9997042220592112
3.4309394957307453e-06,9.267794532413654e-08,0.999996476382559
0.9999999999999849,1.9805205879936016e-50,1.504531067822066e-14
1.2991096958457142e-05,1.2963709518265069e-08,0.9999869959393322
3.510138018590839e-07,0.005689198513586755,0.9943104504726114
1.2794901753807473e-29,0.9999999999994158,5.842306415132266e-13
2.6794011556154506e-33,0.9999999999999984,1.5978222071726393e-15
6.323873959083598e-11,0.14059028615897626,0.8594097137777851
5.621641824646821e-09,0.0009613621890320119,0.9990386321893261
0.007313238792944294,1.447569056694959e-12,0.9926867612056082
0.9999993461356652,4.187410179069268e-32,6.538643348409258e-07
0.011405371543915355,2.4589390902022717e-12,0.9885946284536257
0.9869807020308987,1.5846460210924608e-20,0.013019297969101293
4.310792153764357e-19,0.9999996556523467,3.44347653268894e-07
0.0001031346986090576,1.3688796849018067e-09,0.9998968639325113
2.102945420896252e-08,0.00040778290708225716,0.9995921960634635
2.1650661700645067e-20,0.9999970589011528,2.9410988472735068e-06
6.620243552499548e-07,2.334568726248509e-06,0.9999970034069184
9.971124093316378e-27,0.9999999999651241,3.487578104028861e-11
0.9999988033074095,2.2483947642334156e-31,1.1966925905660157e-06
0.001741442818508843,1.2464548025630412e-10,0.9982585570568457
9.60444596987376e-06,3.203149406141306e-08,0.999990363522536
6.394151976441288e-25,0.9999999998486673,1.513327499457232e-10
0.999999999997667,5.353296875885669e-45,2.333016912306942e-12
3.3502141021284567e-29,0.9999999999995337,4.66347725064387e-13
2.77771007444053e-08,0.3963641764287451,0.6036357957941542
0.999987409541893,8.833867159087028e-28,1.2590458106909216e-05
1.315532443040678e-05,8.760977614328043e-09,0.999986835914592
0.9999999999801099,6.857536987428066e-43,1.9890068603152472e-11
0.999999992823408,1.9493864928152228e-35,7.176591915852739e-09
4.7308370248274576e-07,2.0756210847743168e-06,0.9999974512952128
2.147046338263797e-20,0.9999999282678216,7.173217827445386e-08
1.0256156685852955e-25,0.9999999999108713,8.912877510389702e-11
2.5720777449502805e-10,0.054201812039594156,0.945798187703198
4.48873801393143e-05,8.154840123089791e-10,0.9999551118043768
5.763562311194494e-19,0.9999993838925821,6.161074178640209e-07
0.9999999999976172,2.0609620227362853e-45,2.3828202063481805e-12
8.896162310502456e-08,0.05820769697895046,0.9417922140594264
2.2496115085348854e-07,8.733244765948016e-06,0.9999910417940833
6.271962714499145e-20,0.9999997865199197,2.1348008028336503e-07
0.9999998898756891,3.3126567113067874e-33,1.1012431096158636e-07
1.6056017903226194e-07,8.691187077257242e-06,0.9999911482527436
3.153620977719193e-15,0.9980149915294038,0.001985008470593172
0.9999976421383889,1.4263736794917227e-29,2.3578616110478058e-06
0.9998314779072643,1.0609772815252022e-25,0.00016852209273557714
5.589512416094709e-19,0.9999825102738681,1.748972613198054e-05
